,layer_name,0,1,2,3,4,5,6,7,8,9
38,layer2.1.conv2,0.015615225,0.027438357,0.028469443,0.027048722,0.027644768,0.03709875,0.048540667,0.04964176,0.0716884,0.076425776
39,layer2.1.bn2,0.016758934,0.028709948,0.029692799,0.028400838,0.028963104,0.03849122,0.04992041,0.050859988,0.070533186,0.07556936
40,layer2.1.conv3,0.0055992454,0.008598678,0.008948885,0.008509055,0.008637819,0.0102640875,0.00950148,0.010228984,0.023023814,0.025943786
41,layer2.1.bn3,0.0041390695,0.005998399,0.006252829,0.005940534,0.005993616,0.0074183233,0.0070117824,0.0076237023,0.015987191,0.017815817
42,layer2.1.relu,0.008865707,0.01498539,0.015143804,0.014925294,0.015060343,0.015627064,0.050958894,0.051199317,0.030188926,0.02900897
43,layer2.2.conv1,0.013809726,0.022007942,0.022075593,0.02183263,0.022166193,0.023698255,0.10976107,0.11043976,0.08031541,0.07946955
44,layer2.2.bn1,0.019801378,0.032836556,0.033112735,0.03261234,0.0331534,0.035589337,0.16000004,0.1609635,0.11289209,0.112100706
45,layer2.2.conv2,0.11395091,0.117287755,0.18698612,0.1859011,0.18696932,0.18815534,0.19962554,0.20056084,0.19543016,0.19495866
46,layer2.2.bn2,0.11654022,0.120310485,0.18872961,0.18725163,0.18855126,0.1902699,0.2015003,0.20300525,0.19797719,0.19792174
47,layer2.2.conv3,0.0551241,0.055197336,0.06402696,0.06388561,0.06416743,0.064487815,0.0645661,0.06480751,0.06471125,0.06457133
48,layer2.2.bn3,0.040638912,0.04068909,0.046793453,0.046455383,0.046639796,0.04683316,0.046792496,0.046914093,0.046903364,0.046856456
49,layer2.2.relu,0.096270196,0.09722717,0.112852514,0.11270781,0.112893164,0.11340559,0.114553496,0.115053795,0.11384434,0.11336504
50,layer2.3.conv1,0.1485729,0.149422,0.1717423,0.17150274,0.17173664,0.17269358,0.17423546,0.17514282,0.1732337,0.17235288
51,layer2.3.bn1,0.21732734,0.21806401,0.24962012,0.24928966,0.24964064,0.25106913,0.25241357,0.2535836,0.25122043,0.25011808
52,layer2.3.conv2,0.13236222,0.13296345,0.14341524,0.14358264,0.14401945,0.14446414,0.14454038,0.14553347,0.14386275,0.14368719
53,layer2.3.bn2,0.14759605,0.14611572,0.1558525,0.15598762,0.15637967,0.1573202,0.157426,0.15837005,0.15687287,0.15654348
54,layer2.3.conv3,0.047177278,0.046852235,0.05004034,0.049965337,0.050105955,0.050295856,0.05041965,0.050733592,0.050322607,0.05020122
55,layer2.3.bn3,0.032176614,0.031968612,0.03415413,0.03413433,0.034202512,0.034317747,0.034410402,0.03462833,0.034419633,0.03430495
56,layer2.3.relu,0.0990715,0.09970784,0.115460046,0.115379706,0.11560228,0.11602867,0.1169332,0.117528625,0.116783656,0.11636047
57,layer3.0.conv1,0.09870864,0.099330366,0.11303842,0.11308113,0.11313523,0.11376301,0.114535175,0.115042545,0.11536523,0.11504449
58,layer3.0.bn1,0.23443165,0.23520193,0.26689976,0.26700446,0.26716366,0.26883286,0.27053642,0.2716364,0.2722007,0.27134916
59,layer3.0.conv2,0.20554695,0.20535335,0.21801524,0.2182891,0.21795607,0.21927202,0.21964961,0.2198891,0.21774556,0.21728556
60,layer3.0.bn2,0.32632697,0.32603955,0.3432057,0.34354693,0.33109614,0.33392668,0.33358678,0.33400953,0.33055314,0.32968482
61,layer3.0.conv3,0.058272764,0.05810895,0.0639409,0.06397945,0.05946941,0.059714522,0.059613433,0.059920028,0.05875934,0.058767065
62,layer3.0.bn3,0.02283338,0.022815876,0.025201429,0.025229301,0.0076158196,0.007710673,0.0077588893,0.007908186,0.006829096,0.0068169218
63,layer3.0.relu,0.057913445,0.057367343,0.059825152,0.0597993,0.05715116,0.057252742,0.057522606,0.057605408,0.057423633,0.057271887
64,layer3.0.down_sample_layer.0,0.19815558,0.19846296,0.22665769,0.22642855,0.22677207,0.22749773,0.23003834,0.23118713,0.23227204,0.2308038
65,layer3.0.down_sample_layer.1,0.21750744,0.2173653,0.24572413,0.24542442,0.24596673,0.24668753,0.24994929,0.25048423,0.2518994,0.25050595
66,layer3.1.conv1,0.10196834,0.10079029,0.10810838,0.1075363,0.10335285,0.10361187,0.10431927,0.10423841,0.10525311,0.10486928
67,layer3.1.bn1,0.20515886,0.20339608,0.21551494,0.21490549,0.20553078,0.20684169,0.20812252,0.20814787,0.20945677,0.20932491
68,layer3.1.conv2,0.15871249,0.15668306,0.16213553,0.16058792,0.15901479,0.15936877,0.16051583,0.16037513,0.16252038,0.16218358
69,layer3.1.bn2,0.12973997,0.12747745,0.12966472,0.12872657,0.11735794,0.11753349,0.11813119,0.1176129,0.1180664,0.11804679
70,layer3.1.conv3,0.041668355,0.041027345,0.041555997,0.041210618,0.039925143,0.03998428,0.040178582,0.039999265,0.040121853,0.040158775
