layer_name,0,1,2,3,4,5,6,7,8,9
resnet.layer2.0.downsample,0.0,0.00027791667,0.00027791667,0.000279871,0.0004661106,0.0004661106,0.0004661106,0.00047144218,0.00047144218,0.00047144218
resnet.layer2.0.downsample.0,0.0,4.8898684e-05,4.8898684e-05,4.9566115e-05,8.1195314e-05,8.1195314e-05,8.1195314e-05,8.2418424e-05,8.2418424e-05,8.2418424e-05
resnet.layer2.0.downsample.1,0.0,0.00027791667,0.00027791667,0.000279871,0.0004661106,0.0004661106,0.0004661106,0.00047144218,0.00047144218,0.00047144218
resnet.layer2.1,0.0006448763,0.0001404149,0.0001404149,0.00048438183,0.0002991856,0.00037275036,0.00037275036,4.6402536e-05,4.6402536e-05,4.6402536e-05
resnet.layer2.1.conv1,0.000339804,8.0166355e-05,8.0166355e-05,8.982766e-05,0.00011307126,0.0002442578,0.0002442578,2.9451097e-05,2.9451097e-05,2.9451097e-05
resnet.layer2.1.bn1,0.0014318696,0.00035348395,0.00035348395,0.00041861518,0.00055435195,0.0010529045,0.0010529045,0.00019249425,0.00019249425,0.00019249425
resnet.layer2.1.conv2,0.00028082426,8.649197e-05,8.649197e-05,0.00024035697,0.0001667159,0.00035412324,0.00035412324,5.3074924e-05,5.3074924e-05,5.3074924e-05
resnet.layer2.1.bn2,0.0010379157,0.0003353571,0.0003353571,0.00090654293,0.00062643905,0.0013303601,0.0013303601,0.00024692802,0.00024692802,0.00024692802
resnet.layer2.1.conv3,6.627773e-05,4.5357156e-06,4.5357156e-06,5.8521375e-05,2.7316197e-05,5.201976e-05,5.201976e-05,2.4994006e-06,2.4994006e-06,2.4994006e-06
resnet.layer2.1.bn3,0.00055707246,3.6914193e-05,3.6914193e-05,0.00048904144,0.00022998513,0.00047718218,0.00047718218,2.9734016e-05,2.9734016e-05,2.9734016e-05
resnet.layer2.1.relu,0.0006448763,0.0001404149,0.0001404149,0.00048438183,0.0002991856,0.00037275036,0.00037275036,4.6402536e-05,4.6402536e-05,4.6402536e-05
resnet.layer2.2,0.00065609603,0.0002186175,0.00015374238,0.00043212966,0.00032243575,0.000422997,0.000422997,6.8154826e-05,6.8154826e-05,6.8154826e-05
