layer_name,0,1,2,3,4,5,6,7,8,9
layer2.3.conv1,0.006445259,0.017638579,0.006062761,0.0030628592,0.06599267,0.058485605,0.051172778,0.06903651,0.07192533,0.07384325
layer2.3.bn1,0.0092514455,0.025518864,0.008785129,0.0043390095,0.09713508,0.086406246,0.07621968,0.10374005,0.1079379,0.11010289
layer2.3.conv2,0.050040692,0.055445045,0.06788395,0.05731225,0.007880211,0.006298274,0.01907292,0.0013926774,0.004663676,0.010577604
layer2.3.bn2,0.0046859235,0.048611403,0.06379922,0.058897838,0.013856009,0.00069631636,0.004926458,0.018416807,0.021391645,0.023787498
layer2.3.conv3,0.011269018,0.026731268,0.033145376,0.031331226,0.0019146837,0.005801562,0.008111138,0.001059141,0.0018654875,0.0016991682
layer2.3.bn3,0.009867901,0.014112383,0.018297978,0.017134309,0.0017201528,0.00039444864,0.0022388175,0.003768336,0.0040639453,0.0040088035
layer2.3.relu,0.0024567246,0.0027275681,0.008423574,0.0082278475,0.053555503,0.05277746,0.050664082,0.058869995,0.061754793,0.061873205
layer3,0.020530663,0.028939761,0.014894217,0.011639155,0.022000648,0.029546082,0.25204033,0.2748409,0.30463654,0.28614485
layer3.0,0.0066661313,0.009062715,0.008614037,0.009861123,0.0183772,0.01908857,0.018859912,0.022351805,0.022575468,0.023283973
layer3.0.conv1,0.0027776435,0.00029678643,0.007954061,0.009414658,0.050218858,0.05067671,0.04659821,0.051143885,0.055734567,0.057152696
layer3.0.bn1,0.0072194636,0.0014656186,0.017905444,0.021441162,0.11933881,0.11952573,0.11021672,0.119975775,0.13069315,0.13400261
layer3.0.conv2,0.00415349,0.009878367,0.011746317,0.009039372,0.07052238,0.06962532,0.08058058,0.07705276,0.08851351,0.09263483
layer3.0.bn2,0.00687024,0.015123099,0.018137246,0.013784528,0.112675756,0.11180374,0.1293459,0.12323183,0.13538557,0.14195102
layer3.0.conv3,0.0052732304,0.00042457134,0.0001328066,0.0009342283,0.017371304,0.020224042,0.023205176,0.022552162,0.008456506,0.011551924
